job_title,Unnamed: 1,key_skills,role_category,location,functional_area,industry,role,longitude,latitude,salary,min_experience,max_experience
sr. manager sales capability building,,team management| salesforce| usage| sales| skill development| training| productivity improvement| training management| sales budgeting| tsi,Sales Support,kolkata,"sales , retail , business development","fmcg, foods, beverage",sales trainer,88.35769124,22.5414185,3702,10.0,15.0
service ops expert - servc del | microland,,networking| unix| change management| scheduling| publishing| incident management| vmware| problem management| remedy| sip,Voice,mumbai,"ites , bpo , kpo , lpo , customer service , operations","it-software, software services",associate/senior associate -(technical),72.8773928,19.0759899,5079,2.0,5.0
regional trainer - skin for wellness & beauty industry (only females),,planning| training| training manager| trainer| faculty,Teachers,"ahmedabad,indore","teaching , education , training , counselling","wellness , fitness , sports, beauty",trainer,75.8226156,22.7066324,6619,4.0,9.0
sales manager,,sales| billing| ms office| business reporting| insurance sales| mis preparation| usage| corporate| networking| retail,Retail Sales,chandigarh,"sales , retail , business development","it-software, software services",sales/business development manager,76.7797143,30.7334421,4874,3.0,6.0
field support team-supervisor,,customer support| support service| field support| team| management| supervisor| self motivated| continuous improvement| give| enthusiastic,Admin/Maintenance/Security/Datawarehousing,"ahmedabad,ahmedabad","it software - application programming , maintenance",other,technical support engineer,72.5797068,23.0216238,5698,4.0,5.0
sr. c# developer,,javascript| sql| xml| server| css| technical| software| developing| html| tracking| database| web| application development| net| programming| ajax| development| dom| solid| data integrity| stored procedures| reporting tools| application| applications,Programming & Design,ahmedabad,"it software - application programming , maintenance","it-software, software services",software developer,72.5797068,23.0216238,5162,1.0,6.0
sr structural engineer,,senior design engineer| engineering design| sacs,Engineering Design,mumbai,"engineering design , r&d","strategy, management consulting firms",senior design engineer,72.8773928,19.0759899,4160,5.0,10.0
it security head,,c| python| six sigma| pmp| .net| html| javascript| sql| oracle| assembly language| real time operating systems,Senior Management,hyderabad,"it software - network administration , security","it-software, software services",head/vp/gm-technology(it)/cto,78.4740613,17.360589,3495,4.0,8.0
technical support executive,,technical support executive| electrical engineering,Voice,pune,"ites , bpo , kpo , lpo , customer service , operations","internet, ecommerce",associate/senior associate -(technical),73.8544541,18.521428,5049,2.0,5.0
analyst - business intelligence,,data analysis| automation| google analytics| excel| analytical| business intelligence| analytics| product marketing| sql| data extraction,System Design/Implementation/ERP/CRM,mumbai,"it software - application programming , maintenance","it-software, software services",business analyst,72.8773928,19.0759899,6346,1.0,3.0
nokia wing circuit core - smsc engineer,,detail design|juniper|smsc engineer|routing|ip networking|network elements|network troubleshooting|high level design|data center|switching,Programming & Design,noida,"it software - network administration , security",telecom / isp,software developer,77.3271074,28.5707841,2040,,
assistant restaurant manager / restaurant manager,,assistant restaurant manager| restaurant| restaurant manager,Food & Beverage,delhi ncr,"hotels , restaurants","travel , hotels , restaurants , airlines , railways",restaurant manager,77.1212148,28.6882438,4142,5.0,7.0
digital / web artist,,layout| visualization| digital media| graphic design| html| illustration| tools| part time,Creative,"mumbai,mumbai","design , creative , user experience","advertising, pr, mr, event management",graphic designer,72.8773928,19.0759899,2409,0.0,3.0
business development manager,,selling| accounts| events| prospecting| business operations| ideas| coordinating| tracking| closing| maintaining,Senior Management,"mumbai,mumbai","sales , retail , business development","it-software, software services",head/vp/gm/national manager -sales,72.8773928,19.0759899,5623,2.0,7.0
web/ gui designer,,photoshop| illustrator| seo| jquery| fireworks| css3| gui| usability| development| static,Creative,gurgaon,"design , creative , user experience","it-software, software services",web designer,77.00270015,28.42826235,3031,3.0,5.0
"web designer - html, css, bootstrap, photoshop",,photoshop| html| wordpress| css3| bootstrap| web technologies| html5| css,Programming & Design,ahmedabad,"it software - ecommerce , internet technologies","recruitment, staffing",graphic/web designer,72.5797068,23.0216238,5617,1.0,3.0
python developer,,python,Programming & Design,chennai,"it software - application programming , maintenance","recruitment, staffing",software developer,80.270186,13.0836939,6417,1.0,3.0
web designer,,server| multimedia| troubleshooting| graphics| audio| monitoring| javascript| jquery| user interface| css3,Programming & Design,ahmedabad,"it software - ecommerce , internet technologies","it-software, software services",graphic/web designer,72.5797068,23.0216238,6991,4.0,5.0
avp- fx mo,,senior management| mis reporting| building| training| management| risk| vice president| focus| trade| associate vice president,Senior Management,mumbai,"financial services , banking , investments , insurance","recruitment, staffing",head/vp/gm-operations,72.8773928,19.0759899,2171,8.0,10.0
cluster sales head - tied channel &amp; affinity alliances - health insura,,sales head| tied channel| sales| business growth| profitability| business operations| new business| alliances,Senior Management,"delhi ncr,mumbai,pune,ahmedabad,nagpur,nashik,gujarat,maharashtra","sales , retail , business development",insurance,head/vp/gm/national manager -sales,,,4449,4.0,9.0
head - project management,,project management,Senior Management,delhi ncr,"production , manufacturing , maintenance","real estate, property",head/vp/gm-operations,77.1212148,28.6882438,1704,15.0,20.0
walk- in for development qa/ regulatory affairs,,qa| life sciences| development quality assurance| life cycle| regulatory affairs| dqa| qms| dmf,R&D,hyderabad,"medical , healthcare , r&d , pharmaceuticals , biotechnology","pharma, biotech, clinical research",research scientist,78.4740613,17.360589,6937,4.0,8.0
manager accounts-wazirpur-mba-finance-salary-35k(export house exp),,accounting| finance| financial reporting| statutory compliance| gst| vat,Accounts,delhi ncr,"accounts , finance , tax , company secretary , audit",iron and steel,accounts manager,77.1212148,28.6882438,2770,10.0,14.0
team leader- head digital prtnrshp & bd,,data analysis| consumer research| management| head business development,Retail Sales,mumbai,"sales , retail , business development","construction, engineering, cement, metals",sales/business development manager,72.8773928,19.0759899,6205,8.0,12.0
dwh tester - manual testing,,testing| quality| manual testing| etl| bi| dw| datawarehouse testing,Programming & Design,"delhi ncr,gurgaon",it software - qa & testing,"it-software, software services",testing engineer,77.10436033,28.42208445,1918,4.0,6.0
quality assurance engineer,,assembly language| six sigma| pmp| c| javascript| .net| html| oracle| python| sql,QA/Testing/Documentation,hyderabad,"it software - application programming , maintenance","it-software, software services",quality assurance/quality control executive,78.4740613,17.360589,6652,3.0,5.0
technical / functional skills,,product management| business process| linkedin| automation| cv| email| git| technical| sdlc| ideas,Institutional Sales,mumbai,"sales , retail , business development","it-software, software services",sales executive/officer,72.8773928,19.0759899,5227,4.0,9.0
software development / software engineer,,ajax| javascript| php| erp| website| development| software development| module| mca| application development| application| web| programming,Programming & Design,bengaluru,"it software - application programming , maintenance","it-software, software services",software developer,77.590082,12.9767936,5554,2.0,4.0
inbound phone banking voice process - leading bank - noida,,customer service| customer care| team| communication| bpo| call center| inbound| voice| backend| non voice| telecalling| cse| cro| cce| data entry| back office| voice process| domestic bpo| fresher| trainee| telemarketing| outbound| sales| hardware| networking,Voice,noida,"ites , bpo , kpo , lpo , customer service , operations","fresher, trainee, entry level",associate/senior associate -(nontechnical),77.3271074,28.5707841,6440,0.0,2.0
java enterprise edition,,oracle|core java|business process|outsourcing|operations|spring integration|j2ee|spring framework|jee|manager technology,Programming & Design,mumbai,"it software - application programming , maintenance",it-software / software services,software developer,72.8773928,19.0759899,1954,,
associate clinical data processor,,ms office| data entry,Voice,mumbai,"ites , bpo , kpo , lpo , customer service , operations","strategy, management consulting firms",associate/senior associate -(nontechnical),72.8773928,19.0759899,5541,0.0,1.0
crm,,customer relationship| automobile| proposal preparation| crm strategy| architecture| database| testing,Corporate Sales,bengaluru,"sales , retail , business development","it-software, software services",sales/business development manager,77.590082,12.9767936,5386,1.0,2.0
magento developer,,unix| version control| prototype| xml| mysql| php| json| mvc| ajax| css3,Programming & Design,ahmedabad,it software - system programming,"bpo, call centre, ites",software developer,72.5797068,23.0216238,1965,2.0,7.0
merchandiser,,merchandising| buyer activities| follow ups| vendor| purchase| vendor development| tracking,Production/Merchandising/Business Development,"thane,mumbai,navi mumbai","export , import , merchandising","textiles, garments, accessories",merchandiser,73.0198537,19.0308262,4456,2.0,7.0
siem analyst,,vide,Admin/Maintenance/Security/Datawarehousing,"hyderabad,bengaluru","it software - network administration , security","recruitment, staffing",system security,77.6370384,13.023331,5150,2.0,5.0
hiring ll azure devops and management lead ll hyderabad,,c#| azure| powershell| script writing| api| debugging| devops| application integration,Programming & Design,hyderabad,"it software - application programming , maintenance","it-software, software services",team lead/technical lead,78.4740613,17.360589,2275,6.0,11.0
computer operator,,computer operator| ms office| software services| comm| typing speed| who| software| level,,"gurgaon,noida","executive assistant , front office , data entry","it-software, software services",stenographer/data entry operator,77.00270015,28.42826235,1567,1.0,3.0
operation executive,,operations management| mobilization| resource mobilization| general management| interview| recruitment,Administration/Facility Management,delhi ncr,"hr , recruitment , administration , ir","recruitment, staffing",executive/ sr executive - administration,77.1212148,28.6882438,6411,2.0,3.0
customer support executive,,customer support executive| customer service| business executive| process,Voice,chandigarh,"ites , bpo , kpo , lpo , customer service , operations","it-software, software services",associate/senior associate -(nontechnical),76.7797143,30.7334421,6307,0.0,1.0
corporate-day care manager.,,staff training| day care| recruitment,Teachers,pune,"teaching , education , training , counselling","education, teaching, training",daycareteacher / incharge / attendant,73.8544541,18.521428,5736,2.0,4.0
hiring going on for .us inbound tech support/ sales,,process| spot| technical support| night shift| international bpo,Voice,kolkata,"ites , bpo , kpo , lpo , customer service , operations","it-software, software services",associate/senior associate -(technical),88.35769124,22.5414185,5197,1.0,6.0
deputy manager- performance/digital marketing,,digital marketing|email marketing|adwords|display advertising|digital campaigns|google analytics|sem|seo,Online/Digital Marketing,delhi ncr,"marketing , advertising , mr , pr , media planning",education / teaching / training,social media marketing manager,77.1212148,28.6882438,3419,,
"technical lead -(voip,cisco call manager)",,java| cisco call manager| visa| j2ee| sip| offshore| communication skills,Programming & Design,"bengaluru,bengaluru / bangalore",it software - telecom software,"it-software, software services",team lead/technical lead,77.590082,12.9767936,6134,2.0,7.0
relationship manager,,sales| business development| change management| mobile| mobiles| handset| mobile handset| marketing| relationship management| distribution management| channel management| dealer management| retailer,Channel Sales,chandigarh,"sales , retail , business development","consumer electronics, appliances, durables",sales / bd manager,76.7797143,30.7334421,2897,3.0,8.0
"technician, technical support",,international call center| technical support| maintenance| communication skills| pc hardware| technician activities| social media| analytical ability| soft skills| customer satisfaction,Admin/Maintenance/Security/Datawarehousing,gurgaon,"it software - application programming , maintenance","it-software, software services",technical support engineer,77.00270015,28.42826235,5174,0.0,4.0
graphic designer,,illustrator| corel draw| photoshop,Creative,gurgaon,"design , creative , user experience","education, teaching, training",graphic designer,77.00270015,28.42826235,3523,2.0,4.0
consultant,,manual testing| informatica| microsoft| process automation| system testing| pdf| artificial intelligence| regression testing| silicon| analytics,Programming & Design,noida,"it software - application programming , maintenance","it-software, software services",testing engineer,77.3271074,28.5707841,5116,2.0,5.0
immediate requirement for fusion technical lead developer,,technical architecture| fusion| oracle fusion,Programming & Design,"delhi ncr,mumbai,bengaluru","it software - application programming , maintenance","it-software, software services",team lead/technical lead,121.0977529,14.6719732,1571,10.0,16.0
layout designer / web designer,,layout design| corel draw| web designing| photoshop,Programming & Design,ahmedabad,it software - other,"recruitment, staffing",graphic/web designer,72.5797068,23.0216238,4452,1.0,5.0
international bpo- mahindra- meru- tata sky- paddle point-pepperfry-hc,,bpo voice| voice process| international bpo,Voice,"mumbai,mumbai suburbs,navi mumbai,thane,vasai","ites , bpo , kpo , lpo , customer service , operations","bpo, call centre, ites",associate/senior associate -(nontechnical),,,6576,0.0,4.0
asp.net with angular js & html5 - hyderabad,,html5| asp,Programming & Design,hyderabad,"it software - application programming , maintenance","it-software, software services",software developer,78.4740613,17.360589,5816,5.0,7.0
sales manager product and portfolio,,product training| sales| relationship| banking| recruitment,Retail Sales,hyderabad,"sales , retail , business development","banking, financial services, broking",sales/business development manager,78.4740613,17.360589,5244,5.0,10.0
key accounts manager,,customer profitability| receivable management| education| relationship building| transportation| service| monitoring| key accounts,Corporate Sales,mumbai,"sales , retail , business development","recruitment, staffing",client servicing/key account manager,72.8773928,19.0759899,4830,6.0,11.0
store head-leading manufacturing company,,stores| warehouse| logistics,Logistics,bengaluru,purchase / logistics / supply chain,"automobile, auto anciliary, auto components",logistics manager,77.590082,12.9767936,5436,10.0,15.0
bpo inbound voice tech process - customer service inbound voice - appl,,bpo| outbound| english| email| inbound calls| customer service| troubleshooting| technical support| recruitment| comp,Voice,kolkata,"ites , bpo , kpo , lpo , customer service , operations","it-software, software services",associate/senior associate -(nontechnical),88.35769124,22.5414185,2415,2.0,6.0
java software engineer,,linux| agile| python| computer science| coding| fixed income| machine learning| asset management| jira| financial services,Programming & Design,bengaluru,"it software - application programming , maintenance","banking, financial services, broking",software developer,77.590082,12.9767936,3812,1.0,5.0
admin executive,,english| ms office| admin executive| billing| stock inventory| writing| office management| management| business executive| application,Administration/Facility Management,chandigarh,"hr , recruitment , administration , ir","it-software, software services",executive/ sr executive - administration,76.7797143,30.7334421,3055,2.0,5.0
agm finance for automobile company in kolkata . salary:7 lpa,,credit officers| risk management| administration| report generation| analysts| analytical skills,Senior Management,kolkata,"accounts , finance , tax , company secretary , audit","recruitment, staffing",head/vp/gm-finance/audit,88.35769124,22.5414185,1789,12.0,17.0
accounts manager (male),,balance sheet finalisation| service tax| bank reconciliation| gst| income tax| taxation| financial auditing| finance| tax audit,Accounts,"gurgaon,noida","accounts , finance , tax , company secretary , audit","it-software, software services",accounts manager,77.00270015,28.42826235,5212,7.0,12.0
opening for french specialist accounts payable,,accounts payable| accounting| ap,Back Office/Web/Transaction Processing,bengaluru,"ites , bpo , kpo , lpo , customer service , operations","bpo, call centre, ites",associate/senior associate -(nontechnical),77.590082,12.9767936,2016,1.0,4.0
applications analyst oee,,change management| healthcare| analyst| business analyst| social media| problem management| software development life cycle| scheduling| oee,Programming & Design,bengaluru,"it software - application programming , maintenance","medical, healthcare, hospitals",software developer,77.590082,12.9767936,6067,3.0,5.0
customer service engineer - - icd security solutions,,copyright| customer service representative| cv| customer service| security| troubleshooting| cctv,Corporate Sales,pune,"sales , retail , business development","it-software, software services",client servicing/key account manager,73.8544541,18.521428,3180,2.0,7.0
urgently required senior php developer(laravel) || gurgaon,,css| jquery| mysql| javascript| html| web development| laravel| codeigniter,Programming & Design,gurgaon,"it software - application programming , maintenance","it-software, software services",software developer,77.00270015,28.42826235,3588,2.0,5.0
associate process consultant,,networking| telecom| lan| wan| bss| vpn| wireless| telecommunication| costing| visio,Project Management,pune,it software - telecom software,"it-software, software services",project manager-it/software,73.8544541,18.521428,4791,7.0,12.0
infrastructure management- lecturer,,teaching| educator| counselor| mentor| trainer| advisor,University Level,ghaziabad,"teaching , education , training , counselling","education, teaching, training",lecturer/professor,77.45268496,28.7218316,1958,5.0,7.0
finance admin,,business communication| analytical skills| business objects| team management| management| transition management| trend analysis| variance analysis| analytics,Finance/Audit,pune,"accounts , finance , tax , company secretary , audit","it-software, software services",financial analyst,73.8544541,18.521428,3214,4.0,6.0
guest relations executive,,usage| pdf| c| social media| cash handling| database| customer service| merchandising| advertising,Senior Management,"mumbai,delhi","sales , retail , business development","ngo, social services, regulators, industry associations",head/vp/gm/national manager -sales,77.2820578,28.5715304,5474,6.0,7.0
salesforce system architect,,salesforce| salesforce.com| system design| application architecture,Programming & Design,chennai,"it software - application programming , maintenance","it-software, software services",technical architect,80.270186,13.0836939,4146,8.0,12.0
system monitoring tools & techniques professional,,execution|project management|ao engagement|monitoring tools|delivery management|stakeholder management|system monitoring,Project Management,bengaluru,"it software - erp , crm",it-software / software services,project manager-it/software,77.590082,12.9767936,4639,,
hr recruiter,,recruitment| hiring| hr| screening| interviewing| staffing,Other,navi mumbai,"it software - application programming , maintenance","it-software, software services",fresher,73.0198537,19.0308262,6420,0.0,2.0
business development manager (ecommerce),,bca| cold calling| bidding| academic| customer service| documentation| selling| web development| seo| mba,Corporate Sales,delhi,"sales , retail , business development","it-software, software services",sales/business development manager,77.2219388,28.6517178,3524,1.0,3.0
java developer - spring/ hibernate,,java| webservices| spring| hibernate| system design| esb| sql| spring boot| javascript,Programming & Design,hyderabad,"it software - application programming , maintenance","it-software, software services",software developer,78.4740613,17.360589,3676,5.0,10.0
python developer,,debugging| troubleshooting| python| interpersonal skills| oops| programming| developer,Programming & Design,gurgaon,"it software - application programming , maintenance","it-software, software services",software developer,77.00270015,28.42826235,5033,0.0,1.0
sales and marketing/business development manager,,direct sales| cold calling| english| networking| business development manager| customer interfacing| data collection| service| digital marketing| who,Retail Sales,mumbai,"sales , retail , business development","it-software, software services",sales/business development manager,72.8773928,19.0759899,2992,2.0,7.0
microsoft developer,,build automation| entity framework| mvc| microsoft| sql,Programming & Design,ahmedabad,"it software - application programming , maintenance","recruitment, staffing",software developer,72.5797068,23.0216238,3091,2.0,7.0
customer service executive (adeeba group) for tech support/ sales,,technical support| outbound| troubleshooting| recruitmentenglish| antivirus| comp| customer service executive| domestic bpo,Voice,kolkata,"ites , bpo , kpo , lpo , customer service , operations","it-software, software services",associate/senior associate -(nontechnical),88.35769124,22.5414185,4963,2.0,7.0
inbound technical support with attractive salary package,,outbound| medical| technical support| technical support associate| email| sales| us shift| antivirus| troubleshooting| comp,Voice,kolkata,"ites , bpo , kpo , lpo , customer service , operations","it-software, software services",associate/senior associate -(technical),88.35769124,22.5414185,5156,0.0,5.0
"placement officer,",,hr| human resource management| placement coordination| recruitment executive| recruitment officer,Other,pune,"hr , recruitment , administration , ir","recruitment, staffing",outside consultant,73.8544541,18.521428,1510,0.0,5.0
walk-in interviews for sr.executive - procurement on 5th july,,strategic sourcing| procurement| supply chain management| packaging| vendor management,Purchase/Material Management,gurgaon,purchase / logistics / supply chain,"internet, ecommerce",purchase executive,77.00270015,28.42826235,5829,2.0,5.0
urgent opening automation test engineer 2-5yrs-bellandur bangalore,,test engineering,Programming & Design,bengaluru (bellandur),"it software - application programming , maintenance",it-software / software services,software developer,77.6781903,12.9310383,3991,,
senior tsa inbound tech process,,outbound| technical support associate| sales process| process| senior| technical| us shift| technical support| international bpo,Voice,kolkata,"ites , bpo , kpo , lpo , customer service , operations","it-software, software services",associate/senior associate -(technical),88.35769124,22.5414185,5791,0.0,2.0
freelance corporate trainer on taleo,,corporate training| corporate trainer| technical trainer,Teachers,bengaluru,"teaching , education , training , counselling","it-software, software services",trainer,77.590082,12.9767936,2591,5.0,10.0
senior java developer- urgently required by mumbai it company,,java| mongodb| hibernate| spring| jms,Programming & Design,mumbai (sakinaka),"it software - application programming , maintenance","it-software, software services",software developer,72.8817764,19.1004019,6616,3.0,5.0
manager procurement,,procurement| supply chain management| automation| copyright| chain| purchase| head operations| steel| business executive,Purchase/Material Management,mumbai,purchase / logistics / supply chain,"advertising, pr, mr, event management",purchase/vendor development manager,72.8773928,19.0759899,5994,4.0,5.0
senior software engineer - ui development - javascript/angularjs,,software development life cycle| css| html5| ui development| design patterns| svn| software engineering| angularjs| javascript,Programming & Design,gurgaon,"it software - application programming , maintenance","it-software, software services",software developer,77.00270015,28.42826235,1822,5.0,10.0
telle caller,,good communication skill| good speeking manners| ability to face strangers| punctual| gopod efficiency,Voice,delhi,"ites , bpo , kpo , lpo , customer service , operations","recruitment, staffing",telecalling/telemarketing executive,77.2219388,28.6517178,4502,0.0,2.0
documentation executive,,e - tendering| tender preparation| bid preparation| proposal preparation,,delhi ncr (green park),other,"architecture, interior design",other,121.0400267,14.4768661,3090,8.0,10.0
restaurant cashier,,cash handling| cashier activities| day book| cashier| restaurant| csat,Front Office/Customer Care,delhi ncr (shakti nagar),"hotels , restaurants","travel , hotels , restaurants , airlines , railways",cashier,,,2985,2.0,4.0
"opening for dot net developer @ baner, pune",,c#| .net| asp.net,Other,pune,"it software - application programming , maintenance","it-software, software services",fresher,73.8544541,18.521428,2711,0.0,0.0
management trainee,,excel| sales| conflict resolution| analytical| management trainee| power point presentation| ms office,Other,pune,"sales , retail , business development",insurance,trainee,73.8544541,18.521428,6527,0.0,2.0
junior company secretary,,manual testing| eclipse| coding| scrum| enterprise applications| healthcare| jira| android sdk| test driven development| business analyst,Programming & Design,gurgaon,it software - qa & testing,"medical, healthcare, hospitals",testing engineer,77.00270015,28.42826235,5970,3.0,8.0
production manager,,production management| production control| production planning| production manager| planning| production support| organizing,Production/Manufacturing/Maintenance,"chandigarh,panchkula","production , manufacturing , maintenance","internet, ecommerce",production manager,76.8381751,30.6958386,6473,1.0,5.0
